Local,Dirección,Departamento,Dirección corrregida,Latitud,Longitud,Estado
VETERINARIA CLINICAL,Doctor Pedro Escuder Nuñez,Montevideo ,"Doctor Pedro Escuder Núñez, Uruguay",-34.887937,-56.151769,success
VETERINARIA CLINVET,Zelmar Michelini 1063,Montevideo ,"1063 Zelmar Michelini, Uruguay",-34.911111,-56.189792,success
VETERINARIA COLAS Y PATAS,Bulevar Jose Batlle y Ordonez 1681,Montevideo ,"1717 Bulevar José Batlle y Ordóñez, Uruguay",-34.893541,-56.1294,success
VETERINARIA CONCEPCION,Avenida General Rivera 4721,Montevideo ,"4721 Avenida General Rivera, Uruguay",-34.890949,-56.108081,success
VETERINARIA DON PERRO,Rambla Republica del Peru 1081,Montevideo ,"1081 Rambla Republica Del Peru, Uruguay",-34.912469,-56.146685,success
VETERINARIA DON QUIJOTE,Ejido 1450,Montevideo ,"1450 Ejido, Uruguay",-34.903813,-56.186963,success
VETERINARIA DRA. CECILIA MARTIN,Avenida Libertador Brigadier General Juan Antonio Lavalleja 1957,Montevideo ,"1957 Avenida Libertador Brigadier General Juan Antonio Lavalleja, Uruguay",-34.894836,-56.189203,success
VETERINARIA EL RASTRO,Avenida Libertador Brigadier General Juan Antonio Lavalleja 1630,Montevideo ,"1630 Avenida Libertador Brigadier General Juan Antonio Lavalleja, Uruguay",-34.900605,-56.191581,success
VETERINARIA ELLAURI,Jose Ellauri 1328,Montevideo ,"1328 Jose Ellauri, Uruguay",-34.906995,-56.149413,success
VETERINARIA EXCLUSIVO PARA PERROS,Avenida General San Martin 3265,Montevideo ,"3265 Avenida General San Martin, Uruguay",-34.865524,-56.180266,success
VETERINARIA GRAL. PAZ,Avenida General Jose Maria Paz 1423,Montevideo ,"1423 Avenida General Jose Maria Paz, Uruguay",-34.893431,-56.08019,success
VETERINARIA LA CLINICA,Avenida Ramon Anador 3308,Montevideo ,"3308 Avenida Ramon Anador, Uruguay",-34.896175,-56.145369,success
VETERINARIA LA DILIGENCIA,Obligado 1100,Montevideo ,"1100 Obligado, Uruguay",-34.910384,-56.160468,success
